recordset	mode	frame	dir	event	*eol
gPlayerSequenceHandToHand1	A1	0	0	0	0
gPlayerSequenceHandToHand1	A1	1	0	0	0
gPlayerSequenceHandToHand1	A1	2	0	0	0
gPlayerSequenceHandToHand1	A1	3	0	0	0
gPlayerSequenceHandToHand1	A1	4	0	0	0
gPlayerSequenceHandToHand1	A1	5	0	0	0
gPlayerSequenceHandToHand1	A1	6	0	0	0
gPlayerSequenceHandToHand1	A1	7	0	0	0
gPlayerSequenceHandToHand1	A1	8	0	1	0
gPlayerSequenceHandToHand1	A1	9	0	0	0
gPlayerSequenceHandToHand1	A1	10	0	0	0
gPlayerSequenceHandToHand1	A1	11	0	0	0
gPlayerSequenceHandToHand1	A1	12	0	0	0
gPlayerSequenceHandToHand2	A1	0	0	0	0
gPlayerSequenceHandToHand2	A1	1	0	0	0
gPlayerSequenceHandToHand2	A1	2	0	0	0
gPlayerSequenceHandToHand2	A1	3	0	0	0
gPlayerSequenceHandToHand2	A1	4	0	0	0
gPlayerSequenceHandToHand2	A1	5	0	0	0
gPlayerSequenceHandToHand2	A1	6	0	0	0
gPlayerSequenceHandToHand2	A1	7	0	1	0
gPlayerSequenceHandToHand2	A1	8	0	0	0
gPlayerSequenceHandToHand2	A1	9	0	0	0
gPlayerSequenceHandToHand2	A1	10	0	0	0
gPlayerSequenceHandToHand2	A1	11	0	0	0
gPlayerSequenceHandToHand2	A1	12	0	0	0
gPlayerSequenceHandToHand2	A1	13	0	0	0
gPlayerSequenceJab_BOW	A1	5	0	0	0
gPlayerSequenceJab_BOW	A1	6	0	3	0
gPlayerSequenceJab_BOW	A1	8	0	0	0
gPlayerSequenceJab_BOW	A1	9	0	1	0
gPlayerSequenceJab_BOW	A1	10	0	0	0
gPlayerSequenceJab_BOW	A1	11	0	0	0
gPlayerSequenceJab_BOW	A1	13	0	0	0
gPlayerSequenceJab_BOW	A2	6	0	3	0
gPlayerSequenceJab_BOW	A2	8	0	0	0
gPlayerSequenceJab_BOW	A2	9	0	1	0
gPlayerSequenceJab_BOW	A1	10	0	0	0
gPlayerSequenceJab_BOW	A1	11	0	0	0
gPlayerSequenceJab_BOW	A1	13	0	0	0
gPlayerSequenceJab_BOW	A2	6	0	3	0
gPlayerSequenceJab_BOW	A2	8	0	0	0
gPlayerSequenceJab_BOW	A2	9	0	1	0
gPlayerSequenceJab_BOW	A2	10	0	0	0
gPlayerSequenceJab_BOW	A2	13	0	0	0
gPlayerSequenceJab_1HS	A1	2	0	0	0
gPlayerSequenceJab_1HS	A1	7	0	3	0
gPlayerSequenceJab_1HS	A1	9	0	0	0
gPlayerSequenceJab_1HS	A1	10	0	1	0
gPlayerSequenceJab_1HS	A1	12	0	0	0
gPlayerSequenceJab_1HS	A1	13	0	0	0
gPlayerSequenceJab_1HS	A1	15	0	0	0
gPlayerSequenceJab_1HS	A2	4	0	0	0
gPlayerSequenceJab_1HS	A2	6	0	3	0
gPlayerSequenceJab_1HS	A2	9	0	0	0
gPlayerSequenceJab_1HS	A2	10	0	1	0
gPlayerSequenceJab_1HS	A1	12	0	0	0
gPlayerSequenceJab_1HS	A1	13	0	0	0
gPlayerSequenceJab_1HS	A1	15	0	0	0
gPlayerSequenceJab_1HS	A2	4	0	0	0
gPlayerSequenceJab_1HS	A2	6	0	3	0
gPlayerSequenceJab_1HS	A2	9	0	0	0
gPlayerSequenceJab_1HS	A2	10	0	1	0
gPlayerSequenceJab_1HS	A2	11	0	0	0
gPlayerSequenceJab_1HS	A2	13	0	0	0
gPlayerSequenceJab_1HS	A2	15	0	0	0
gPlayerSequenceSacrifice_1HT	A2	0	0	0	0
gPlayerSequenceSacrifice_1HT	A2	2	0	0	0
gPlayerSequenceSacrifice_1HT	A2	4	0	0	0
gPlayerSequenceSacrifice_1HT	A2	7	0	1	0
gPlayerSequenceSacrifice_1HT	A2	8	0	0	0
gPlayerSequenceSacrifice_1HT	A2	10	0	0	0
gPlayerSequenceSacrifice_1HT	A2	13	0	0	0
gPlayerSequenceSacrifice_STF	A1	0	0	0	0
gPlayerSequenceSacrifice_STF	A1	2	0	0	0
gPlayerSequenceSacrifice_STF	A1	4	0	0	0
gPlayerSequenceSacrifice_STF	A1	6	0	0	0
gPlayerSequenceSacrifice_STF	A1	8	0	1	0
gPlayerSequenceSacrifice_STF	A1	10	0	0	0
gPlayerSequenceSacrifice_STF	A1	13	0	0	0
gPlayerSequenceSacrifice_STF	A1	15	0	0	0
gPlayerSequenceChastise_1HT	S1	3	0	0	0
gPlayerSequenceChastise_1HT	S1	4	0	0	0
gPlayerSequenceChastise_1HT	S1	5	0	0	0
gPlayerSequenceChastise_1HT	S1	6	0	0	0
gPlayerSequenceChastise_1HT	S1	7	0	0	0
gPlayerSequenceChastise_1HT	S1	8	0	0	0
gPlayerSequenceChastise_1HT	S1	10	0	0	0
gPlayerSequenceChastise_1HT	A2	1	0	0	0
gPlayerSequenceChastise_1HT	A2	2	0	0	0
gPlayerSequenceChastise_1HT	A2	4	0	0	0
gPlayerSequenceChastise_1HT	A2	6	0	0	0
gPlayerSequenceChastise_1HT	A2	7	0	1	0
gPlayerSequenceChastise_1HT	A2	8	0	0	0
gPlayerSequenceChastise_1HT	A2	10	0	0	0
gPlayerSequenceChastise_1HT	A2	11	0	0	0
gPlayerSequenceChastise_1HT	A2	13	0	0	0
gPlayerSequenceCharge	RN	0	0	1	0
gPlayerSequenceCharge	RN	1	0	1	0
gPlayerSequenceCharge	RN	2	0	1	0
gPlayerSequenceCharge	RN	3	0	1	0
gPlayerSequenceCharge	RN	4	0	1	0
gPlayerSequenceCharge	RN	5	0	1	0
gPlayerSequenceCharge	RN	6	0	1	0
gPlayerSequenceCharge	RN	7	0	1	0
gPlayerSequenceCharge	A1	1	0	0	0
gPlayerSequenceCharge	A1	4	0	0	0
gPlayerSequenceCharge	A1	5	0	3	0
gPlayerSequenceCharge	A1	6	0	1	0
gPlayerSequenceCharge	A1	8	0	0	0
gPlayerSequenceCharge	A1	10	0	0	0
gPlayerSequenceCharge	A1	12	0	0	0
gPlayerSequenceDefiance_1HT	A2	5	0	0	0
gPlayerSequenceDefiance_1HT	A2	6	0	0	0
gPlayerSequenceDefiance_1HT	A2	7	0	1	0
gPlayerSequenceDefiance_1HT	A2	8	0	0	0
gPlayerSequenceDefiance_1HT	A2	10	0	0	0
gPlayerSequenceDefiance_1HT	A2	12	0	0	0
gPlayerSequenceInferno	SC	0	0	0	0
gPlayerSequenceInferno	SC	1	0	0	0
