seqnum	*sequence	weaponclass	recordset	*eol
1	Jab	HTH	gPlayerSequenceHandToHand1	0
1	Jab	1HT	gPlayerSequenceJab_BOW	0
1	Jab	2HT	gPlayerSequenceJab_1HS	0
1	Jab	1HS		0
1	Jab	2HS		0
1	Jab	BOW		0
1	Jab	XBW		0
1	Jab	STF		0
1	Jab	1JS		0
1	Jab	1JT		0
1	Jab	1SS		0
1	Jab	1ST		0
1	Jab	HT1		0
1	Jab	HT2		0
2	Sacrifice	HTH	gPlayerSequenceHandToHand2	0
2	Sacrifice	1HT		0
2	Sacrifice	2HT		0
2	Sacrifice	1HS	gPlayerSequenceSacrifice_1HT	0
2	Sacrifice	2HS	gPlayerSequenceSacrifice_STF	0
2	Sacrifice	BOW		0
2	Sacrifice	XBW		0
2	Sacrifice	STF		0
2	Sacrifice	1JS		0
2	Sacrifice	1JT		0
2	Sacrifice	1SS		0
2	Sacrifice	1ST		0
2	Sacrifice	HT1		0
2	Sacrifice	HT2		0
3	Chastise	HTH	gPlayerSequenceHandToHand2	0
3	Chastise	1HT		0
3	Chastise	2HT		0
3	Chastise	1HS	gPlayerSequenceChastise_1HT	0
3	Chastise	2HS		0
3	Chastise	BOW		0
3	Chastise	XBW		0
3	Chastise	STF		0
3	Chastise	1JS		0
3	Chastise	1JT		0
3	Chastise	1SS		0
3	Chastise	1ST		0
3	Chastise	HT1		0
3	Chastise	HT2		0
4	Charge	HTH	gPlayerSequenceCharge	0
4	Charge	1HT	gPlayerSequenceCharge	0
4	Charge	2HT	gPlayerSequenceCharge	0
4	Charge	1HS	gPlayerSequenceCharge	0
4	Charge	2HS	gPlayerSequenceCharge	0
4	Charge	BOW		0
4	Charge	XBW		0
4	Charge	STF	gPlayerSequenceCharge	0
4	Charge	1JS		0
4	Charge	1JT		0
4	Charge	1SS		0
4	Charge	1ST		0
4	Charge	HT1		0
4	Charge	HT2		0
5	Defiance	HTH	gPlayerSequenceHandToHand2	0
5	Defiance	1HT		0
5	Defiance	2HT		0
5	Defiance	1HS	gPlayerSequenceDefiance_1HT	0
