sequence_id	sequence_name	skill_rows	weapon_class_index	weapon_class	weapon_class_id	available	array_name	runtime_group_rva	runtime_descriptor_rva	runtime_records_rva	static_group_seed_rvas	static_records_seed_rvas	sequence_frame_count	animation_frame_count	descriptor_extra
1	Jab	ama:Jab	0	HTH	0	1	gPlayerSequenceHandToHand1	0x2383150	0x2383150	0x2382FB0	0x1990A50	0x1993EB0	13	13	0x100
1	Jab	ama:Jab	1	1HT	3	1	gPlayerSequenceJab_BOW	0x2383150	0x2383168	0x2383060	0x1990A50	0x1993290	18	18	0x100
1	Jab	ama:Jab	2	2HT	6	1	gPlayerSequenceJab_1HS	0x2383150	0x2383180	0x23830D0	0x1990A50	0x1992B70	21	21	0x100
1	Jab	ama:Jab	3	1HS	2	0		0x2383150	0x2383198		0x1990A50		0	0	0x100
1	Jab	ama:Jab	4	2HS	5	0		0x2383150	0x23831B0		0x1990A50		0	0	0x100
1	Jab	ama:Jab	5	BOW	1	0		0x2383150	0x23831C8		0x1990A50		0	0	0x100
1	Jab	ama:Jab	6	XBW	7	0		0x2383150	0x23831E0		0x1990A50		0	0	0x100
1	Jab	ama:Jab	7	STF	4	0		0x2383150	0x23831F8		0x1990A50		0	0	0x100
1	Jab	ama:Jab	8	1JS	8	0		0x2383150	0x2383210		0x1990A50		0	0	0x100
1	Jab	ama:Jab	9	1JT	9	0		0x2383150	0x2383228		0x1990A50		0	0	0x100
1	Jab	ama:Jab	10	1SS	10	0		0x2383150	0x2383240		0x1990A50		0	0	0x100
1	Jab	ama:Jab	11	1ST	11	0		0x2383150	0x2383258		0x1990A50		0	0	0x100
1	Jab	ama:Jab	12	HT1	12	0		0x2383150	0x2383270		0x1990A50		0	0	0x100
1	Jab	ama:Jab	13	HT2	13	0		0x2383150	0x2383288		0x1990A50		0	0	0x100
2	Sacrifice	pal:Sacrifice	0	HTH	0	1	gPlayerSequenceHandToHand2	0x2383300	0x2383300	0x2383000	0x1992FA0	0x1991BE0	14	14	0x100
2	Sacrifice	pal:Sacrifice	1	1HT	3	0		0x2383300	0x2383318		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	2	2HT	6	0		0x2383300	0x2383330		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	3	1HS	2	1	gPlayerSequenceSacrifice_1HT	0x2383300	0x2383348	0x23832A0	0x1992FA0	0x1993B18	7	7	0x100
2	Sacrifice	pal:Sacrifice	4	2HS	5	1	gPlayerSequenceSacrifice_STF	0x2383300	0x2383360	0x23832D0	0x1992FA0	0x19909F8	8	8	0x100
2	Sacrifice	pal:Sacrifice	5	BOW	1	0		0x2383300	0x2383378		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	6	XBW	7	0		0x2383300	0x2383390		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	7	STF	4	0		0x2383300	0x23833A8		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	8	1JS	8	0		0x2383300	0x23833C0		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	9	1JT	9	0		0x2383300	0x23833D8		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	10	1SS	10	0		0x2383300	0x23833F0		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	11	1ST	11	0		0x2383300	0x2383408		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	12	HT1	12	0		0x2383300	0x2383420		0x1992FA0		0	0	0x100
2	Sacrifice	pal:Sacrifice	13	HT2	13	0		0x2383300	0x2383438		0x1992FA0		0	0	0x100
3	Chastise		0	HTH	0	1	gPlayerSequenceHandToHand2	0x23834B0	0x23834B0	0x2383000	0x1991540	0x1991BE0	14	14	0x100
3	Chastise		1	1HT	3	0		0x23834B0	0x23834C8		0x1991540		0	0	0x100
3	Chastise		2	2HT	6	0		0x23834B0	0x23834E0		0x1991540		0	0	0x100
3	Chastise		3	1HS	2	1	gPlayerSequenceChastise_1HT	0x23834B0	0x23834F8	0x2383450	0x1991540	0x1993300	16	16	0x100
3	Chastise		4	2HS	5	0		0x23834B0	0x2383510		0x1991540		0	0	0x100
3	Chastise		5	BOW	1	0		0x23834B0	0x2383528		0x1991540		0	0	0x100
3	Chastise		6	XBW	7	0		0x23834B0	0x2383540		0x1991540		0	0	0x100
3	Chastise		7	STF	4	0		0x23834B0	0x2383558		0x1991540		0	0	0x100
