array_name	runtime_records_rva	static_records_seed_rvas	record_index	runtime_record_rva	mode_id	mode_code	mode_name	frame	direction	event_id	event_name	native_bytes
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	0	0x2382FB0	7	A1	Attack1	0	0	0	NONE	000007000000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	1	0x2382FB6	7	A1	Attack1	1	0	0	NONE	000007010000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	2	0x2382FBC	7	A1	Attack1	2	0	0	NONE	000007020000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	3	0x2382FC2	7	A1	Attack1	3	0	0	NONE	000007030000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	4	0x2382FC8	7	A1	Attack1	4	0	0	NONE	000007040000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	5	0x2382FCE	7	A1	Attack1	5	0	0	NONE	000007050000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	6	0x2382FD4	7	A1	Attack1	6	0	0	NONE	000007060000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	7	0x2382FDA	7	A1	Attack1	7	0	0	NONE	000007070000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	8	0x2382FE0	7	A1	Attack1	8	0	1	MELEE_ATTACK	000007080001
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	9	0x2382FE6	7	A1	Attack1	9	0	0	NONE	000007090000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	10	0x2382FEC	7	A1	Attack1	10	0	0	NONE	0000070A0000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	11	0x2382FF2	7	A1	Attack1	11	0	0	NONE	0000070B0000
gPlayerSequenceHandToHand1	0x2382FB0	0x1993EB0	12	0x2382FF8	7	A1	Attack1	12	0	0	NONE	0000070C0000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	0	0x2383000	7	A1	Attack1	0	0	0	NONE	000007000000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	1	0x2383006	7	A1	Attack1	1	0	0	NONE	000007010000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	2	0x238300C	7	A1	Attack1	2	0	0	NONE	000007020000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	3	0x2383012	7	A1	Attack1	3	0	0	NONE	000007030000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	4	0x2383018	7	A1	Attack1	4	0	0	NONE	000007040000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	5	0x238301E	7	A1	Attack1	5	0	0	NONE	000007050000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	6	0x2383024	7	A1	Attack1	6	0	0	NONE	000007060000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	7	0x238302A	7	A1	Attack1	7	0	1	MELEE_ATTACK	000007070001
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	8	0x2383030	7	A1	Attack1	8	0	0	NONE	000007080000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	9	0x2383036	7	A1	Attack1	9	0	0	NONE	000007090000
gPlayerSequenceHandToHand2	0x2383000	0x1991BE0	10	0x238303C	7	A1	Attack1	10	0	0	NONE	0000070A0000
